mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	3
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	4
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	5
1	1	0	0	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	6
1	1	2	2	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	7
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	9
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	10
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	11
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	12
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	13
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	14
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	15
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	16
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	17
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	18
2	2	7	7	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	19
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	20
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	22
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	23
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	24
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	25
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	26
3	3	9	9	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	27
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	28
3	3	8	8	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	29
3	3	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	30
3	3	10	10	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	31
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	32
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	33
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	34
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	35
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	36
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	37
4	4	12	12	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	38
4	4	14	14	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	39
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	40
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	41
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	42
5	5	18	18	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	43
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	44
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	45
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	46
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	47
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	48
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	49
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	50
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	51
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	52
6	6	20	20	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	53
6	6	21	21	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	54
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	55
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	56
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	57
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	58
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	59
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	60
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	61
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	62
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	63
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	64
7	7	24	24	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	65
7	7	26	26	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	66
7	7	27	27	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	67
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	68
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	69
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	70
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	71
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	72
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	73
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	74
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	75
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	76
8	8	28	28	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	77
8	8	29	29	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	78
8	8	30	30	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	79
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	80
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	81
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	82
9	9	34	34	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	83
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	84
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	85
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	86
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	87
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	88
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	89
10	10	36	36	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	90
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	91
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	92
10	10	36	36	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	93
10	10	37	37	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	94
10	10	38	38	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	95
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	96
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	97
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	98
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	99
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	100
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	101
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	102
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	103
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	104
11	11	40	40	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	105
11	11	42	42	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	106
11	11	43	43	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	107
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	108
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	109
