mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	3
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	4
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	5
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	6
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	7
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	8
1	1	0	0	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	9
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	10
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	11
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	12
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	13
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	14
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	15
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	16
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	17
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	18
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	19
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	20
2	2	4	4	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	21
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	22
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	23
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	24
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	25
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	26
3	3	10	10	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	27
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	28
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	30
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	31
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	32
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	33
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	34
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	35
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	36
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	37
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	38
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	39
4	4	12	12	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	40
4	4	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	41
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	42
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	43
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	44
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	45
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	46
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	47
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	48
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	49
5	5	16	16	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	50
5	5	18	18	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	51
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	53
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	54
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	55
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	56
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	57
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	58
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	59
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	60
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	61
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	62
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	63
6	6	20	20	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	64
6	6	21	21	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	65
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	66
6	6	23	23	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	67
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	68
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	69
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	70
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	71
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	72
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	73
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	74
7	7	24	24	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	75
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	76
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	77
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	78
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	79
8	8	30	30	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	80
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	81
